Ticket Number,Title,Description,Asset,AssetTag,Urgency,Location,Status,Response Time,Resolution Time,Escallation Time,Status,Is First Call Resolution,Service,Request Type,Category,Request Source,Actual Response Time,Actual Resolution Time,Incident Creater Name,Ticket Creater Phone Number,Creation Time,Location,Sub Location,Requester,Assigned To,Comment
20230000002071,rr,rr,"","",3,rr,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Hardware,"","",Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",14/03/2023 09:27,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002072,تست,مومن تست,"","",3,سيي,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Hardware,"",Internet Maintenance,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",15/03/2023 13:44,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002073,test,test,27,"",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",18/04/2023 11:21,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002074,test,test,27,"",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",18/04/2023 11:22,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002075,test,test,27,"",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",18/04/2023 11:24,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002076,test,test,27,"",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",18/04/2023 11:26,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002077,test,test,27,"",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",18/04/2023 11:28,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002078,test,test,27,"",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",18/04/2023 11:30,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002079,test2,test2,"","",3,test2,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",18/04/2023 11:36,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002080,test,description,"","",3,kigali,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",25/04/2023 09:30,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002081,test,description,"","",3,kigali,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",25/04/2023 09:32,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002082,test,description,"","",3,kigali,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",25/04/2023 09:41,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002083,test,test,"","",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",26/04/2023 12:38,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002084,test,test,"","",3,test,Active,27/04/2023 12:41,30/04/2023 12:41,01/05/2023 12:41,"",False,Application Service,Incident,Accident Reconstruction,Self Service,10/05/2023 14:13,01/01/0001 00:00,"","",26/04/2023 12:41,"","",admin@aspnetboilerplate.com,"",Request status changed to active
20230000002085,test,test,"","",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",04/07/2023 12:32,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002086,test,test,"","",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",04/07/2023 12:49,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002087,test,tst,"","",3,tst,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",04/07/2023 12:54,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002088,test,test,"","",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",04/07/2023 12:59,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002089,test,test,"","",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",04/07/2023 13:03,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002090,test,test,"","",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",04/07/2023 13:05,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002091,test,test,"","",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",04/07/2023 13:12,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002092,test,test,"","",3,test,Logged,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,"",Accident Reconstruction,Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",04/07/2023 13:16,"","",admin@aspnetboilerplate.com,"",Ticket request created
20230000002093,test,test,"","",3,test,Assigned,05/07/2023 13:19,08/07/2023 13:19,09/07/2023 13:19,"",False,Application Service,Bug,Accident Reconstruction,Self Service,23/10/2023 22:58,01/01/0001 00:00,"","",04/07/2023 13:19,"","",admin@aspnetboilerplate.com,admin@aspnetboilerplate.com,admin 3 has been assigned as owner
20230000002094,test,test,"","",3,test,Assigned,05/07/2023 13:21,08/07/2023 13:21,09/07/2023 13:21,"",False,Application Service,Bug,Accident Reconstruction,Self Service,23/10/2023 22:50,01/01/0001 00:00,"","",04/07/2023 13:21,"","",admin@aspnetboilerplate.com,Asif@Test.com,Owner has been changed to Muhammad Asif
20230000002095,test,test,"","",3,test,Assigned,05/07/2023 13:24,08/07/2023 13:24,09/07/2023 13:24,"",False,Application Service,Bug,Accident Reconstruction,Self Service,23/10/2023 22:17,01/01/0001 00:00,"","",04/07/2023 13:24,"","",admin@aspnetboilerplate.com,admin@aspnetboilerplate.com,admin 3 has been assigned as owner
20230000002096,Test Title,Kigali Description,"","",3,Kigali,Assigned,23/10/2023 19:15,26/10/2023 19:15,27/10/2023 19:15,"",False,Application Service,Incident,Accident Reconstruction,Self Service,23/10/2023 22:02,01/01/0001 00:00,"","",22/10/2023 19:15,"","",admin@aspnetboilerplate.com,admin@aspnetboilerplate.com,admin 3 has been assigned as owner
20230000002097,Test Title 3,Kigali Description,"","",3,Kigali,Assigned,23/10/2023 19:16,26/10/2023 19:16,27/10/2023 19:16,"",False,Application Service,Bug,Ticket Creation,Self Service,23/10/2023 14:52,01/01/0001 00:00,"","",22/10/2023 19:16,"","",admin@aspnetboilerplate.com,admin@aspnetboilerplate.com,admin 3 has been assigned as owner
20230000002098,Test Title 4,Kigali Description,"","",3,Kigali,In-Progress,23/10/2023 19:19,26/10/2023 19:19,27/10/2023 19:19,"",False,Application Service,Bug,Accident Reconstruction,Self Service,23/10/2023 14:35,01/01/0001 00:00,"","",22/10/2023 19:19,"","",admin@aspnetboilerplate.com,admin@aspnetboilerplate.com,Request status changed to in-progress
20230000002099,Test Title 5,Kigali Description,"","",3,Kigali,In-Progress,23/10/2023 19:33,26/10/2023 19:33,27/10/2023 19:33,"",False,Hardware,Bug,Internet Maintenance,Self Service,23/10/2023 14:35,01/01/0001 00:00,"","",22/10/2023 19:33,"","",admin@aspnetboilerplate.com,admin@aspnetboilerplate.com,Request status changed to in-progress
20230000002100,test123,test123 description,"","",3,"",In-Progress,13/12/2023 08:49,16/12/2023 08:49,17/12/2023 08:49,"",False,Application Service,Incident,General,Self Service,12/12/2023 09:50,01/01/0001 00:00,"","",12/12/2023 08:49,Kigali,Gisozi,admin@aspnetboilerplate.com,admin@aspnetboilerplate.com,Request status changed to in-progress with comment 'still having that issue'
